comparison,delta,left_method,left_metric,metric_used,model,right_method,right_metric,task
prompt_vs_direct,0.009370,prompt,0.035032,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.025662,has_vul
qlora_vs_direct,0.711828,qlora,0.737490,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.025662,has_vul
full_vs_direct,0.849918,full,0.875580,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.025662,has_vul
full_vs_qlora,0.138090,full,0.875580,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,qlora,0.737490,has_vul
prompt_vs_direct,-0.018326,prompt,0.089403,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.107729,vul_line
qlora_vs_direct,0.265055,qlora,0.372784,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.107729,vul_line
full_vs_direct,0.282677,full,0.390406,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.107729,vul_line
full_vs_qlora,0.017622,full,0.390406,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,qlora,0.372784,vul_line
prompt_vs_direct,-0.002376,prompt,0.055188,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.057564,vul_type
qlora_vs_direct,0.305443,qlora,0.363007,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.057564,vul_type
full_vs_direct,0.417926,full,0.475490,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.057564,vul_type
full_vs_qlora,0.112483,full,0.475490,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,qlora,0.363007,vul_type
prompt_vs_direct,-0.011680,prompt,0.040784,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.052464,has_vul
qlora_vs_direct,0.707422,qlora,0.759886,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.052464,has_vul
full_vs_direct,0.823221,full,0.875685,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.052464,has_vul
full_vs_qlora,0.115799,full,0.875685,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,qlora,0.759886,has_vul
prompt_vs_direct,0.023662,prompt,0.161017,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.137355,vul_line
qlora_vs_direct,0.241293,qlora,0.378648,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.137355,vul_line
full_vs_direct,0.257426,full,0.394781,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.137355,vul_line
full_vs_qlora,0.016133,full,0.394781,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,qlora,0.378648,vul_line
