blocked,completed,failed,incomplete_task_names,missing,model,model_family,planned_total,running,unsupported_or_requires_adaptation
0,3,0,,0,microsoft/codebert-base,traditional_baseline,3,0,0
0,3,0,,0,microsoft/graphcodebert-base,traditional_baseline,3,0,0
0,3,0,,0,microsoft/unixcoder-base,traditional_baseline,3,0,0
0,2,0,artifacts/unassigned_run/full:running,0,Salesforce/codet5-base,traditional_baseline,3,1,0
0,12,0,,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,12,0,0
0,12,0,,0,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,12,0,0
0,12,0,,0,Qwen/Qwen2.5-Coder-3B-Instruct,Qwen2.5-Coder,12,0,0
0,9,0,,0,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder,9,0,0
0,9,0,,0,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,9,0,0
0,7,0,artifacts/unassigned_run/qlora:running,0,Qwen/Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder,9,2,0
0,12,0,,0,deepseek-ai/deepseek-coder-1.3b-base,DeepSeek-Coder,12,0,0
0,9,0,,0,deepseek-ai/deepseek-coder-6.7b-base,DeepSeek-Coder,9,0,0
0,6,0,artifacts/unassigned_run/qlora:running,0,deepseek-ai/deepseek-coder-33b-base,DeepSeek-Coder,9,3,0
0,12,0,,0,bigcode/starcoder2-3b,StarCoder2,12,0,0
0,9,0,,0,bigcode/starcoder2-7b,StarCoder2,9,0,0
0,9,0,,0,bigcode/starcoder2-15b,StarCoder2,9,0,0
0,12,0,,0,google/codegemma-2b,CodeGemma,12,0,0
0,9,0,,0,google/codegemma-7b,CodeGemma,9,0,0
0,12,0,,0,ibm-granite/granite-3b-code-base,Granite Code,12,0,0
0,9,0,,0,ibm-granite/granite-8b-code-base,Granite Code,9,0,0
0,9,0,,0,ibm-granite/granite-20b-code-base,Granite Code,9,0,0
0,8,0,artifacts/unassigned_run/qlora:running,0,codellama/CodeLlama-7b-hf,CodeLlama,9,1,0
0,9,0,,0,codellama/CodeLlama-13b-hf,CodeLlama,9,0,0
0,8,0,artifacts/unassigned_run/qlora:running,0,codellama/CodeLlama-34b-hf,CodeLlama,9,1,0
0,9,0,,0,WizardLM/WizardCoder-Python-7B-V1.0,WizardCoder,9,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,gpt-5.1,API,6,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,gpt-4.1,API,6,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,gpt-4.1-mini,API,6,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,claude-opus-4-1-20250805,API,6,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,claude-sonnet-4-20250514,API,6,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,gemini-2.5-pro,API,6,0,0
0,0,0,artifacts/unassigned_run/prompt:missing,6,gemini-2.5-flash,API,6,0,0
